question,response
"Is the contact information, including email address and phone number, mandatory for the notify party on a CHERRY shipping line bill of lading?","Yes, the contact information for the notify party, including email address and phone number with country and area code, is mandatory."
What is the deadline for submitting Verified Gross Mass (VGM) according to CHERRY shipping line?,"VGM must be submitted before the container is loaded onto the vessel, adhering to individual terminal cutoff times."
What are the mandatory contact details required for the notify party according to CHERRY shipping line's compliance requirements?,"CHERRY shipping line requires a full name, complete address, phone number, and email address for the notify party."
What is the deadline for surrendering the original Bill of Lading for import shipments in CHERRY shipping line?,The original Bill of Lading must be surrendered at least one working day before the vessel's arrival.
What certifications are required for meat and poultry products being shipped to Jordan?,Halal certification is required for meat and poultry products.
What is the maximum gross weight allowed for a 40' container shipped by CHERRY shipping line?,"The maximum gross weight allowed for a 40' container is 30,480 kg."
What is the maximum gross weight allowed for a 40' container shipped by CHERRY shipping line?,"The maximum gross weight allowed for a 40' container is 30,480 kg.  Overweight containers require special approval and may incur additional charges."
What documentation is required for a consignee based in Korea?,"A Korea-based consignee requires a full name, complete address, phone number, email address, and a Business Registration Number."
What documentation is required for shipping dangerous goods with CHERRY shipping line to Brazil?,A Dangerous Goods Declaration (in Portuguese) and Safety Data Sheets (SDS) in Portuguese are required.
What contact information is mandatory for both shippers and consignees when submitting details to CHERRY shipping line?,Phone number with country and area code and email address are mandatory for both shippers and consignees.
What are the acceptable document types for the Bill of Lading (B/L) when shipping with CHERRY shipping line to Tanzania?,CHERRY shipping line accepts both Original Bill of Lading (OBL) and Sea Waybill (SWB) for shipments to Tanzania.
Can CHERRY shipping line handle door deliveries or inland ramp deliveries?,"No, CHERRY shipping line only accepts port-to-port shipments. 



Question: What type of party needs to confirm shipments booked by an unknown party before loading?
Answer: The CHERRY Customer Service team in the Port of Discharge (POD) Office."
What are the operating hours for CHERRY shipping line's Physical Verification Service (PVS) in Djibouti?,"The PVS operates from Sunday to Thursday, 08:00 - 16:00. It is closed on Fridays and Saturdays."
What is required for a shipment to be considered transit cargo by CHERRY shipping line when passing through Brazil?,"For a shipment to be considered transit cargo, the notify party must be located in Brazil, and the bill of lading (B/L) body must include a clause stating ""Transit Cargo"" along with all countries involved in the transit."
What information must be included in the packaging details for a shipment to CHERRY shipping line?,"Both outer and inner packaging details must be provided, specifying the number of packages and their type. For containerized cargo, the container number(s), seal number(s), container size, and type must also be included."
What type of professional must handle customs clearance for shipments arriving in Tanzania?,Customs clearance for shipments arriving in Tanzania must be handled by a licensed customs broker.
What is the maximum length for a CHERRY shipping line Booking Reference number?,The maximum length for a CHERRY shipping line Booking Reference number is 20 characters.
What are the customs document processing hours at the port on a Saturday?,"Customs document processing at the port is available from 08:30 to 13:00 on Saturdays, with limited services."
What is the maximum gross weight allowed for a 40' container shipped by CHERRY shipping line?,"The maximum gross weight allowed for a 40' container is 30,480 kg. Overweight containers require special approval and may incur additional charges."
What are the required documents for shipping animal products to the United States and when should they be submitted?,"To ship animal products to the US, you will need to obtain import permits from the USDA.  While the text doesn't specify a submission timeline for import permits, it's best to apply well in advance of the planned shipment."
How many days before a vessel's arrival at the discharge port must CHERRY shipping line send an Arrival Notice to the Notify party or Consignee?,"CHERRY shipping line must send an Arrival Notice to the Notify party or Consignee before 7, 5, 3, or 2 working days, depending on the specific circumstances."
What are the specific regulations regarding waste shipments to Belgium?,Waste shipments to Belgium are subject to strict regulations and prior notification procedures. Importers must comply with the EU Waste Shipment Regulation.
What type of Bill of Lading is encouraged by CHERRY Shipping Line for shipments to Brazil?,CHERRY Shipping Line encourages the use of Electronic Bill of Lading (e-B/L) for shipments to Brazil due to faster processing times.
What is the maximum gross weight allowed for a 40' container shipped by CHERRY shipping line?,"The maximum gross weight for a 40' container is 30,480 kg."
What is the required documentation for importing vehicles into Japan according to CHERRY shipping line?,"Import approval from the Ministry of Land, Infrastructure, Transport and Tourism is required for vehicles, along with proof that they meet Japanese safety and emission standards. Used vehicles over 3 years old may be subject to additional, stringent inspections."
What are the free time allowances for general cargo and reefer containers when shipping to Indonesia with CHERRY?,"General cargo has a free time allowance of 3 days, while reefer containers have a free time allowance of 2 days."
What documents are required for customs clearance in Chile?,"Original commercial invoice, packing list, and Bill of Lading (B/L) are required for customs clearance.

Question:  Are there any restrictions on the types of goods that can be imported into Chile?
Answer: Yes, certain goods require import licenses, such as firearms, pharmaceuticals, and some food products. Narcotics, counterfeit goods, and certain used vehicles are prohibited.

Question: What sanitary and phytosanitary controls apply to agricultural and food products imported into Chile?
Answer: Agricultural and food products may require certificates from SAG (Servicio Agrícola y Ganadero). Some products may also need approval from the Chilean Ministry of Health."
Can a company registered outside of Qatar be the consignee for a shipment with CHERRY shipping line?,"No, the consignee must be a company registered in Qatar."
Does CHERRY shipping line permit the printing of Bills of Lading (B/L) at the destination port?,"Yes, printing B/Ls at the destination port is permitted upon request, but additional fees may apply. The original B/L must be surrendered or a Letter of Indemnity provided."
What company registration number is required for UK-based shippers and consignees when shipping with CHERRY?,UK-based shippers and consignees need to provide their Company Registration Number.
What information is required for the notify party details in a shipment?,"Full name, complete address, contact phone number with country and area code, and email address are required for notify party details.  A physical address is necessary, and a P.O. Box alone is insufficient."
What are the regulations governing the transportation of dangerous goods by CHERRY shipping line in Tanzania?,"Transportation of dangerous goods by CHERRY shipping line in Tanzania is subject to IMDG regulations and Tanzanian regulations on dangerous goods. Advance booking and approval are required, along with a Dangerous Goods Declaration, Safety Data Sheet (SDS), and proper UN packaging and labeling."
What documentation is required when shipping personal effects and household goods to Australia?,A detailed inventory list and an owner's declaration of contents are necessary.  These shipments may also be subject to quarantine inspection and must be handled by approved freight forwarders or moving companies.
What specific regulations must wood packaging materials adhere to when shipping to the Netherlands via CHERRY shipping line?,Wood packaging materials must comply with ISPM 15 regulations and require proper marking indicating heat treatment or fumigation.  Non-compliant wood packaging may result in the re-exportation of the entire shipment.
What are the special regulations for transporting reefer containers with food products in Singapore?,Reefer containers with food products may require AVA (Agri-Food & Veterinary Authority) approval in Singapore.
Can used cars be shipped using CHERRY shipping line?,"Yes, but special requirements apply and confirmation from the CHERRY Customer Service team in the destination office is necessary before loading. Age restrictions may also apply for importation."
"According to CHERRY shipping line requirements, what contact information is mandatory for notify party details?",Email address and phone number with country and area code are mandatory for notify party contact information.
What is the maximum cargo weight allowed in a 20-foot container according to CHERRY shipping line?,The maximum cargo weight allowed in a 20-foot container is 23 tons.
"How long does a consignee have to clear cargo before it is considered unclaimed in the United States, according to CHERRY shipping line's policy?",A consignee has 15 calendar days to clear cargo upon arrival at the port of entry in the United States.
What are the maximum gross weights allowed for 20' and 40' containers shipped by CHERRY shipping line?,"The maximum gross weight for a 20' container is 24,000 kg, and the maximum gross weight for a 40' container is 30,480 kg.  Containers exceeding these weights require special approval and incur additional charges."
What is the required advance notification timeframe for vessels carrying dangerous goods arriving at a U.S. port according to CHERRY shipping line compliance?,Advance Notification of Security (ANOAS) must be submitted 96 hours before arrival.
What are the demurrage charges for a 40' dry container after the free time of 7 calendar days for export cargo?,Demurrage charges for a 40' dry container after the free time are USD 100 per day for days 6-10 and USD 150 per day for day 11 onwards.
What are the accepted Bill of Lading (B/L) types for shipments to/from Canada according to CHERRY Shipping Line?,"CHERRY Shipping Line accepts Original Bill of Lading (OBL), Sea Waybill (SWB), and Electronic Bill of Lading (e-B/L) for most routes when shipping to/from Canada."
What specific regulations must be followed when shipping waste cargo with CHERRY shipping line?,"Waste shipments are subject to EU and German waste shipment regulations. Prior notification and consent may be required, and compliance with the EU Waste Shipment Regulation is mandatory."
What are the documentation office hours at the Dar es Salaam Port?,"The documentation office hours at the Dar es Salaam Port are Monday to Friday from 08:00 to 17:00, and Saturday from 08:00 to 13:00. It is closed on Sundays and Public Holidays."
What is the legal framework that governs shipments handled by CHERRY shipping line in Singapore?,All shipments handled by CHERRY shipping line in Singapore must comply with the Singapore Customs Act and regulations.
What happens to unclaimed cargo after a specified period in the Netherlands according to CHERRY shipping line?,"Unclaimed cargo will be transferred to a customs warehouse, and the cargo owner will be responsible for transfer fees and storage charges. After a specified period, Dutch Customs may sell or dispose of the cargo. Perishable goods may be handled sooner to prevent spoilage."
What are the gate operation hours at Novorossiysk Port on a Saturday?,Gate operations at Novorossiysk Port are open from 08:00 to 16:00 on Saturdays.
What special regulations apply to returning Tanzanian citizens shipping personal effects and household goods?,Detailed information regarding the special regulations for returning Tanzanian citizens shipping personal effects and household goods is not provided in the given text. It is recommended to confirm this information with your local CHERRY office.
What packaging details are required for shipments handled by CHERRY shipping line?,"Both outer and inner packaging details must be provided, including the type of packaging, number of pieces per package type, and total number of packages. For containerized cargo, the container number(s), seal number(s), container size, and type are also required. Simply stating ""pallets"" is not sufficient."
What documentation is required to be submitted for dangerous goods being shipped via CHERRY?,A dangerous goods declaration must be submitted 7 days before the vessel arrival.
What documentation is needed for the import of vehicles into Denmark?,"Vehicles imported into Denmark must comply with Danish and EU safety and environmental standards.  Registration tax applies to most vehicles, and special documentation is needed for classic or collectors' vehicles."
What legal framework governs shipments handled by CHERRY Shipping Line in Djibouti?,All shipments must comply with Djibouti Customs Law and related regulations.
What is the demurrage charge per day for a 40' dry container in USD for days 8-14 after discharge at the port?,The demurrage charge per day for a 40' dry container in USD for days 8-14 after discharge at the port is 120.
What contact information is mandatory for both shipper and consignee when shipping to the Philippines via CHERRY Shipping Line?,Both shipper and consignee must provide a phone number and an email address.
What is the required timeframe for submitting cargo information electronically to comply with the Advance Filing Rules (AFR) by CHERRY shipping line for imports into Japan?,Cargo information must be submitted electronically through the Nippon Automated Cargo and Port Consolidated System (NACCS) at least 24 hours before departure from the port of loading.
What type of address information is required for the Notify Party on a shipment?,"The Notify Party requires a full name and complete physical address, including contact information such as a phone number with country and area code and an email address. A P.O. Box is not sufficient."
What documentation is required for all shipments to Qatar?,A Certificate of Origin authenticated by the Chamber of Commerce in the country of origin is required for all shipments to Qatar.
What is the required time frame for submitting cargo information electronically for imports into Japan according to CHERRY shipping line's compliance requirements?,Cargo information must be submitted electronically through the Nippon Automated Cargo and Port Consolidated System (NACCS) 24 hours before departure from the port of loading.
What special documentation is required for vehicle imports into Djibouti?,"The text mentions that special documentation is required for vehicle imports, but it does not specify what those documents are."
What specific regulations must temperature-controlled cargo adhere to when being shipped by CHERRY?,Temperature settings must be clearly specified on the booking and bill of lading. Special requirements may also apply depending on the commodity being shipped.
What is required for the notify party details when shipping to a destination within the European Union (EU)?,"For intra-EU shipments, the notify party details must include the full name and complete address, a phone number with country and area code, and an email address. A P.O. box is not sufficient; a physical address is required."
What documentation is required for Indonesia-based shippers when shipping with CHERRY?,"Indonesia-based shippers need to provide their full name, complete address, phone number, email address, and NPWP (Nomor Pokok Wajib Pajak)."
What are the regular working hours for customs offices in the Netherlands?,"Customs offices in the Netherlands typically operate from Monday to Friday, between 8:00 am and 5:00 pm."
What are the requirements for wood packaging when shipping with CHERRY line?,"All wood packaging must comply with ISPM 15 regulations and be accompanied by a fumigation certificate. The wood packaging must also be marked with the IPPC logo, the ISO country code, a unique number, and the treatment type."
What contact information is provided for CHERRY Shipping Line's South Korea office?,"The provided text includes the South Korea office address, phone number, and email address. It also lists operating hours and a 24/7 emergency contact number."
What are the normal working hours for Customs at Inland Container Depots (ICDs) in Russia?,"Customs at Inland Container Depots (ICDs) in Russia operate from Monday to Friday, 9:00 am to 6:00 pm. They are closed on Saturdays, Sundays, and Public Holidays."
What are the registration requirements for the consignee and notify party when shipping with CHERRY shipping line to Qatar?,Both the consignee and notify party must be companies registered in Qatar.
What is the required identification document for Chile-based shippers and consignees when shipping with CHERRY?,Chile-based shippers and consignees must provide their RUT (Rol Único Tributario).
What is the free time allowed for imports in Argentina according to CHERRY's standard tariff?,The free time allowed for imports in Argentina is 5 days.
"According to CHERRY shipping line's requirements, what level of detail is required when describing food products in the cargo description?","For food products, a detailed description including specific ingredients is required."
What is the maximum gross weight allowed for a 40' container being shipped by CHERRY shipping line?,"The maximum gross weight for a 40' container is 30,480 kg."
What is the maximum age allowed for passenger cars being imported into Saudi Arabia?,Passenger cars imported into Saudi Arabia must not exceed 5 years of age.
What is the required documentation for China-based shippers and consignees when shipping with CHERRY?,"China-based shippers and consignees must provide their full name, complete address, phone number, email address, and Unified Social Credit Code."
What are the advance documentation requirements for shipping dangerous goods to Malaysia via CHERRY shipping line?,Advance booking and approval for dangerous goods shipments are required at least 7 days prior to vessel arrival. Required documentation includes a Dangerous Goods Declaration and a Safety Data Sheet (SDS).
Are original bills of lading (OBLs) required for shipments to the Republic of Korea (South Korea)?,"Yes, Original Bills of Lading (OBLs) are accepted for shipments to South Korea. Sea Waybills and Electronic Bills of Lading (e-B/L) are also available options."
What is the minimum lead time required for submitting shipping instructions for export shipments with CHERRY shipping line?,Shipping instructions must be submitted a minimum of 3 working days before the vessel's estimated time of arrival (ETA).
What are the gate operation hours for Dar es Salaam Port on Sundays and Public Holidays?,Gate operations at Dar es Salaam Port are open from 08:00 to 16:00 on Sundays and Public Holidays.
What is the maximum length for a booking reference number provided by CHERRY shipping line?,The maximum length for a booking reference number is 20 characters.
"What is the maximum free time allowed for reefer containers at CHERRY shipping line, and when do electricity charges apply?",The maximum free time for reefer containers is 3 days. Electricity charges apply from the first day.
What type of certificate might be needed for importing agricultural products into Taiwan?,Agricultural products imported into Taiwan may require phytosanitary certificates.
What type of packaging details are required for shipments by CHERRY shipping line?,"Both outer and inner packaging details must be provided, including the number of packages and the type of packaging. For containerized cargo, the container number(s), seal number(s), container size, and type are also required."
What special security measures are required for high-value cargo shipped by CHERRY shipping line?,"High-value cargo, defined as goods valued over USD 1,000,000 per container, requires sealed high-security locks, GPS tracking devices, and may require armed guards subject to UAE regulations."
Does CHERRY require a certificate of origin for all shipments to Belgium?,"No, a certificate of origin may be required for certain shipments to Belgium and must be authenticated by the Chamber of Commerce in the country of origin."
What are the acceptable bill of lading types for shipments to Canada according to CHERRY Shipping Line?,"CHERRY Shipping Line accepts Original Bill of Lading (OBL), Sea Waybill (SWB), and Electronic Bill of Lading (e-B/L) for shipments to Canada.  e-B/L is available for most routes."
What are the specific compliance requirements and restrictions imposed by CHERRY Shipping Line for shipments to the Kingdom of Morocco?,"To get information about the specific compliance requirements and restrictions imposed by CHERRY Shipping Line for shipments to the Kingdom of Morocco, you would need to consult the documentation titled ""CHERRY Shipping Line: Kingdom of Morocco - Requirements and Restrictions."""
"What format should be used for the consignee field when shipping to Brazil with a ""To Order"" clause?","The consignee field should be formatted as ""TO ORDER OF [Bank Name]"",  for example, ""TO ORDER OF BANCO DO BRASIL S.A.""."
What documentation is required for shipping dangerous goods with CHERRY shipping line to the UK?,A Dangerous Goods Declaration and Safety Data Sheets (SDS) are required for shipping dangerous goods.
What is the contact information for CHERRY Shipping Line's Germany office if I have questions about shipments to or from Germany?,"You can reach CHERRY Shipping Line's Germany office at [Insert detailed address], by phone at [Insert phone number], or by email at [Insert email address]. Their operating hours are [Insert hours]. For emergencies, you can reach them at [Insert emergency number]. The Customs Liaison Officer's contact details are also available."
What is the deadline for submitting the advance manifest for import shipments with CHERRY shipping line?,The advance manifest for import shipments must be submitted a minimum of 24 hours before the vessel's arrival.
What is the emergency contact number for CHERRY Shipping Line in Argentina?,The 24/7 emergency contact number for CHERRY Shipping Line in Argentina is provided in the text but has been omitted. Please refer to the original documentation for this information.
What is the required lead time for booking and approval of dangerous goods shipments with CHERRY shipping line to Malaysia?,Advance booking and approval for dangerous goods shipments are required at least 7 days prior to vessel arrival.
What documentation is required for importing alcoholic beverages and tobacco into Japan?,Special documentation is required for importing alcoholic beverages and tobacco into Japan.
What tax identification number is required for Indonesian shippers and consignees when shipping with CHERRY Shipping Line?,Indonesian shippers and consignees need to provide their NPWP (Nomor Pokok Wajib Pajak).
What tax identification information is required for shippers and consignees based in Thailand when submitting shipping documentation to CHERRY shipping line?,Thailand-based shippers and consignees must provide their Tax Identification Number (TIN) when submitting shipping documentation.
What are the maximum gross weight limits for 20' and 40' containers according to CHERRY shipping line?,"The maximum gross weight for 20' containers is 24,000 kg, and the maximum gross weight for 40' containers is 30,480 kg. Containers exceeding these weight limits require special approval and may incur additional charges."
What type of information should be included in the cargo description for a shipment containing chemicals?,"For chemicals, the cargo description must include the CAS number, UN number, and hazard class."
What documentation is required for shipments of dangerous goods to the Philippines?,"Shipments of dangerous goods to the Philippines require a Dangerous Goods Declaration, Safety Data Sheets (SDS), and must adhere to IMDG regulations and Philippine regulations on dangerous goods."
What Ukrainian regulations must shipments adhere to when using CHERRY shipping line?,All shipments must comply with Ukrainian Customs Law and related regulations.
What information is required for the cargo description when shipping with CHERRY?,"A detailed and accurate description of the goods in English or Danish is mandatory. Generic terms are not accepted. The description must include the precise commodity, the number of packages, and the type of packages (e.g., pallets, cartons, drums). For food products, specific ingredient details are also required."
What contact information should be used for queries regarding shipments to/from India for CHERRY Shipping Line?,"The CHERRY Shipping Line India Office can be reached at [Insert detailed address], [Insert phone number], or [Insert email address]. Their operating hours are [Insert hours]. For emergencies, contact [Insert emergency number]."
What are the normal working hours for the gate operations at the Doraleh Multipurpose Port (DMP) in Djibouti?,"Gate operations at the DMP are open from 06:00 to 22:00 on Sunday to Thursday, and from 06:00 to 18:00 on Friday and Saturday."
What tax identification information is required for Chile-based shippers and consignees when providing documentation to CHERRY shipping line?,Chile-based shippers and consignees must provide their RUT (Rol Único Tributario).
What are the specific regulations governing the import of used clothing and shoes into Kenya?,"The import of used clothing and shoes into Kenya is subject to specific regulations, which may include special documentation and inspections."
What are the mandatory contact details required for the notify party when shipping with CHERRY?,"The notify party must provide a full name, complete address, phone number, and email address."
What are the required HS codes for shipments according to CHERRY shipping line's compliance requirements?,12-digit HS codes are required for all shipments as per Turkish Customs.
What cold chain compliance requirements apply to pharmaceutical products shipped with CHERRY?,Pharmaceutical products shipped with CHERRY must comply with Good Distribution Practice (GDP). This includes specific handling procedures for products requiring controlled room temperature (CRT) and potential additional documentation to prove temperature maintenance throughout transit.
What are the primary compliance requirements for shipments handled by CHERRY shipping line when going to or from Russia?,All shipments must adhere to Russian Customs Law and related regulations.  CHERRY reserves the right to refuse shipments that do not meet these standards.
What contact information is provided for queries regarding shipments to/from India handled by CHERRY Shipping Line?,"The CHERRY Shipping Line India Office address, phone number, and email address are provided. They also have 24/7 emergency contact."
"What contact information is required for the shipper, consignee, and notify party when shipping with CHERRY?","For the shipper, consignee, and notify party, a full name and postal address including country, email address, and a phone number with country and area code are required."
Can alcoholic beverages be shipped using the CHERRY shipping line?,"No, the shipment of alcoholic beverages is not permitted by CHERRY shipping line."
What expedited customs clearance procedures are available for temperature-sensitive goods shipped through CHERRY?,CHERRY offers expedited clearance procedures for certain perishable goods.
What is the demurrage charge per day for a 40' dry container in USD between days 8 and 14 after the free time expires for an import shipment into Russia?,The demurrage charge per day for a 40' dry container between days 8 and 14 after the free time expires for an import shipment into Russia is USD 140.
What types of items are typically restricted or prohibited from import into South Korea?,"Restricted or prohibited items for import into South Korea often include firearms and explosives, narcotics and psychotropic substances, certain agricultural and livestock products, and some telecommunications equipment."
What is the minimum information required in the Place of Delivery box for transit cargo moving by land to another country?,The minimum information required is the postal code and location.
What is the consequence of shipping more than one container per bill when moving cargo by truck via the Port of Vancouver to the USA?,Shipments with more than one container per bill may incur Canada customs fines. There is also a $100 USD CBO fee per additional bill created.
"What are the demurrage charges for a 40' dry container exceeding the free time of 7 days, after the vessel's Estimated Time of Departure (ETD) for export?",The demurrage charges for a 40' dry container exceeding the free time of 7 days after the vessel's ETD for export are $50 per day for days 8-14 and $150 per day for days 15 onwards.
What are the consequences of shipping multiple containers under a single bill of lading when transporting cargo via truck from Canada to the USA?,"All shipments must comply with the ""one container per bill"" guideline. Failure to do so may result in Canada customs fines. An additional USD $100 CBO fee will be charged for each extra bill created."
What specific dangerous goods regulations must be followed when shipping to Germany using CHERRY shipping line?,Shipments must comply with IMDG regulations and German dangerous goods regulations.
What are the required details for the packaging description when shipping with CHERRY shipping line?,"Both outer and inner packaging details must be provided, including the type of packaging, the number of pieces per package type, and the total number of packages."
What packaging regulations should importers be aware of when shipping goods to Germany?,Importers must participate in a packaging recycling scheme as mandated by the German Packaging Ordinance.
What are the general maximum gross weight limits for a 20' container and a 40' container when transported by CHERRY shipping line?,"The general maximum gross weight for a 20' container is 38,000 lbs (17,237 kg) and for a 40' container is 44,000 lbs (19,958 kg)."
What are the general weight limits for 20' and 40' containers shipped by CHERRY shipping line?,"The general weight limit for 20' containers is 24,000 kg gross weight, and for 40' containers, it is 30,480 kg gross weight."
What business registration information is needed for consignees based in Korea?,Korea-based consignees require a Business Registration Number.
What documentation is required for shipping dangerous goods with CHERRY shipping line to Turkey?,A Dangerous Goods Declaration (in Turkish and English) and a Safety Data Sheet (SDS) in Turkish and English are required.
What is the deadline for providing detailed cargo specifications for project cargo shipments with CHERRY shipping line?,Detailed cargo specifications must be provided 14 days before the vessel's arrival.
Are toy guns prohibited for shipment by CHERRY shipping line?,"Yes, toy guns are prohibited for shipment by CHERRY shipping line."
What specific documentation is required for shipping Out of Gauge (OOG) cargo with CHERRY?,"For OOG cargo, detailed dimensions and weight distribution must be provided at the time of booking. Special permits may also be required for road transportation in the Netherlands."
What is the required legal status of the consignee for shipments handled by CHERRY shipping line to the UAE?,The consignee must be a company registered in the UAE.
What are the required documents for shipping dangerous goods with CHERRY shipping line to the Philippines?,The required documents for shipping dangerous goods to the Philippines with CHERRY shipping line are a Dangerous Goods Declaration and Safety Data Sheets (SDS).
What are the payment terms accepted by CHERRY shipping line for shipments to Denmark?,CHERRY shipping line accepts both prepaid and collect shipments for imports to Denmark.  Import VAT (25%) and any applicable duties are payable on imports.
Can freight be collected for shipments to Qatar using CHERRY shipping line?,"Yes, freight collect is possible for shipments to Qatar using CHERRY shipping line, but prior approval from CHERRY's Qatar office is required."
What types of payment terms are accepted by CHERRY shipping line for shipments to the Philippines?,CHERRY shipping line accepts both prepaid and collect shipments.
What contact information is required for both shipper and consignee details when shipping to Turkey through CHERRY Shipping Line?,"Both shipper and consignee details require a full name and complete address, a phone number, and an email address."
What tax identification number is required for Chilean shippers and consignees when shipping with CHERRY?,Chilean shippers and consignees need to provide their RUT (Rol Único Tributario) number.
What tax identification information is required for shippers and consignees based in Thailand when shipping with CHERRY?,Thailand-based shippers and consignees must provide their Tax Identification Number (TIN).
What contact information is required for the notify party when submitting a bill of lading to CHERRY shipping line?,"For notify parties, an email address and a phone number with the country and area code are mandatory."
What is the required advance notification period for shipments of dangerous goods to CHERRY shipping line?,Dangerous goods shipments require an advance notification of 72 hours prior to arrival.
"According to CHERRY shipping line's requirements, what level of detail is needed for the cargo description?","A detailed and accurate description of the goods is mandatory, avoiding vague terms like ""Said to Contain"". The description must include the precise commodity, the number of packages, and the type of packages (e.g., pallets, cartons, drums)."
What are the common reasons why cargo may be left unclaimed after arriving in the USA?,"Cargo may be left unclaimed due to consignee financial issues, disputes between buyer and seller, incorrect or incomplete documentation, failure to comply with U.S. import regulations, or loss of contact with the consignee."
What is the language requirement for the inventory list when shipping personal effects to China using CHERRY shipping line?,A detailed inventory list is required in both English and Chinese.
Is Halal Certification required for all meat and poultry products imported into Qatar?,"Yes, Halal Certification is mandatory for all meat and poultry products imported into Qatar. The certification must be issued by an Islamic center approved by Qatar authorities."
What is the primary Tanzanian regulation that all CHERRY shipments must adhere to?,All CHERRY shipments must comply with Tanzanian Customs Law and related regulations.
What contact information is mandatory for both shipper and consignee details when shipping to Ukraine via CHERRY Shipping Line?,Both phone number and email address are mandatory contact information for shipper and consignee details.
What is the required timeframe for submitting shipping instructions to CHERRY shipping line?,Shipping instructions must be submitted 3 working days before the vessel's arrival.
What contact information should be used for inquiries about shipments to/from India for CHERRY Shipping line?,"You can reach CHERRY Shipping Line India Office at the following: Address: [Insert detailed address], Phone: [Insert phone number], Email: [Insert email address]. For 24/7 emergencies, contact: [Insert emergency number]."
Can CHERRY shipping line accept transit cargo to Jordan?,"Yes, transit cargo is accepted on the consignee's risk and account. CHERRY's responsibility ceases at the discharging port."
What documentation is required for shipping dangerous goods with CHERRY shipping line?,"For dangerous goods shipments, a Dangerous Goods Declaration and Safety Data Sheets (SDS) are required."
What type of bill of lading is accepted by CHERRY shipping line for shipments where the consignee is not yet known?,"For shipments where the consignee is not yet known, CHERRY shipping line accepts ""To Order"" bills of lading, but the notify party must be the actual consignee."
What packaging information is required for containerized cargo shipped by CHERRY?,"For containerized cargo, the following packaging details are required: container number(s), seal number(s), container size, and container type."
What reporting requirements are there for incidents involving dangerous goods while shipping with CHERRY?,Any incident involving dangerous goods must be immediately reported to the U.S. authorities.
Can foreign residents import personal belongings into Chile?,"Yes, but they must provide a valid work visa or residency permit."
What are the customs processing hours at Inland Container Depots (ICDs) in Russia?,"Customs processing hours at Inland Container Depots (ICDs) in Russia are from 09:00 to 18:00, Monday to Friday. ICDs are closed on Saturdays, Sundays, and Public Holidays."
Will customs operations in Tanzania be open on Nyerere Day (October 14)?,"Customs operations in Tanzania are typically closed on public holidays, including Nyerere Day."
What documentation is required from the consignee for intra-EU shipments handled by CHERRY shipping line?,"For intra-EU shipments, the consignee must provide their EU VAT number in addition to the standard Notify Party details."
What are the gate operation hours at Dar es Salaam Port on a Sunday?,Gate operations at Dar es Salaam Port are open from 08:00 to 16:00 on Sundays and public holidays.
What are the specific regulations for shipping Class 7 (Radioactive Materials) with CHERRY shipping line?,Shipping Class 7 (Radioactive Materials) is subject to approval from Singapore's National Environment Agency.
What are the mandatory contact information required for both shipper and consignee details when shipping with CHERRY Shipping Line to Taiwan?,Both shipper and consignee details require a telephone or fax number and an email address.
What is the maximum gross weight allowed for a 40' container being shipped by CHERRY shipping line?,"The maximum gross weight for a 40' container is 30,480 kg."
What are the specific regulations governing the import of used vehicles into Ukraine?,"The import of used vehicles into Ukraine is subject to specific regulations, though the exact details are not provided in the text."
What are the maximum gross weight limits for 20' and 40' containers shipped by CHERRY shipping line?,"The maximum gross weight for 20' containers is 24,000 kg, and the maximum gross weight for 40' containers is 30,480 kg. Overweight containers require special approval and may incur additional charges."
What documentation is needed for customs clearance when importing goods into Ghana?,"Customs clearance in Ghana can be handled by the importer or a licensed customs broker and requires the following documents: Commercial Invoice, Packing List, Bill of Lading, Import License (if applicable), and Certificate of Origin (if applicable)."
What is the maximum gross weight allowed for a 40' container shipped with CHERRY?,"The maximum gross weight allowed for a 40' container is 30,480 kg. Overweight containers require special approval and incur additional charges."
"What information should be displayed in the Place of Delivery box for cargo transported by land from country ""A"" to country ""B""?","For cargo transported by land from country ""A"" to country ""B"", the Place of Delivery box should display the street, postal code, location, and country."
Are food and agricultural products being shipped to Saudi Arabia subject to specific regulations?,"Yes, food and agricultural products are subject to strict regulations and inspections when shipped to Saudi Arabia and may require additional certificates from the country of origin."
What type of documentation is required for shipping personal effects and household goods with CHERRY shipping line?,"A detailed inventory list, valuation form, and a copy of the shipper's passport or government-issued ID are required."
What is the requirement for the consignee's location when shipping with CHERRY shipping line to Taiwan?,The consignee must be located in Taiwan to meet customs requirements.
What information is required regarding tax identification numbers for consignee and notify parties when shipping with CHERRY?,Both consignee and notify parties must provide their Tax ID or Business Registration Numbers. The specific format requirements vary by country and should be confirmed with local CHERRY offices.
What are the specific regulations for shipping Class 7 (Radioactive Materials) with CHERRY shipping line through Singapore?,Shipping Class 7 (Radioactive Materials) is subject to approval from Singapore's National Environment Agency.
What is the deadline for submitting a Dangerous Goods Declaration when shipping with CHERRY?,The Dangerous Goods Declaration must be submitted 7 days before the vessel's arrival.
What documents are required for customs clearance in Tanzania?,"Customs clearance in Tanzania requires a Commercial Invoice, Packing List, Bill of Lading, Import Declaration Form (IDF), Pre-arrival Declaration (PAD), Certificate of Conformity (CoC) if applicable, and a Certificate of Origin if applicable."
